httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.status,httpRequest.userAgent,insertId,labels.execution_id,logName,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
,,,,,,,,,000000-d1649eda-ab4f-469e-8f3b-b92243898f98,27ddijrurecl,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:59.182419928Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 98 ms, finished with status: 'ok'",2021-10-10T17:58:57.598917313Z,projects/taller3-pcuneo/traces/50ae67984a0546f0c3c36358bc25fc17
,,,,,,,,,000000-c52586ed-9090-4bbe-a120-68d159f83499,27ddijrurecl,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:59.182419928Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,,inc_visits 0.010000000000000231 offices,2021-10-10T17:58:57.598Z,projects/taller3-pcuneo/traces/50ae67984a0546f0c3c36358bc25fc17
,,,,,,,,,000000-2eb8fe35-2be4-40c7-992e-0c1e6db1cb3b,99ord6qjcms8,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:58.231972421Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:58:57.577024913Z,projects/taller3-pcuneo/traces/0d8a0dfe9d5247c231c05e7f15a5afe0
,,,,,,,,,000000-c763d06c-3976-4341-b54e-d1b3e87f094c,99orjt25h07m,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:58.231972421Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 195 ms, finished with status: 'ok'",2021-10-10T17:58:57.573901768Z,projects/taller3-pcuneo/traces/b35aed077cb65c408cacf7dca4da6905
,,,,,,,,,000000-0e80efbe-7265-41fa-96de-4be5ee37aedd,99orjt25h07m,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:58.033283004Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,,inc_visits 0.04999999999999982 legals,2021-10-10T17:58:57.572Z,projects/taller3-pcuneo/traces/b35aed077cb65c408cacf7dca4da6905
,,,,,,,,,000000-88b187c1-d9dc-416b-ae94-389dbabee909,ykgwg970uxrs,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:05.302290690Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:58:57.506517707Z,projects/taller3-pcuneo/traces/f5c9246a4480d278c2d5fbb1970a7bfc
,,,,,,,,,000000-22c252cc-047f-418d-950a-7fa1cac7cd9e,ykgwt7t8zpsd,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:05.302290690Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 128 ms, finished with status: 'ok'",2021-10-10T17:58:57.503714192Z,projects/taller3-pcuneo/traces/ec1734eb98a27a197ed175d11839db90
,,,,,,,,,000000-5372f367-e7af-4888-aa13-ecfc00006b63,ykgwt7t8zpsd,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:05.302290690Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,,inc_visits 0.0 offices,2021-10-10T17:58:57.502Z,projects/taller3-pcuneo/traces/ec1734eb98a27a197ed175d11839db90
,,,,,,,,,000000-0d129948-12ad-4ec5-b0c0-02a999fc9e44,27ddijrurecl,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:59.182419928Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:58:57.501754613Z,projects/taller3-pcuneo/traces/50ae67984a0546f0c3c36358bc25fc17
,,,,,,,,,000000-c57145a9-574d-4946-92fe-e59c5bf68620,27ddhm4tvs3b,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:59.182419928Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 145 ms, finished with status: 'ok'",2021-10-10T17:58:57.498948655Z,projects/taller3-pcuneo/traces/a4894aa48a2000b30bc19bd1c84268ce
,,,,,,,,,000000-e51df418-34a2-4a17-ab07-7d28bd82483d,27ddhm4tvs3b,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:58:59.182419928Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,,inc_visits 0.0 about,2021-10-10T17:58:57.497Z,projects/taller3-pcuneo/traces/a4894aa48a2000b30bc19bd1c84268ce
