httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.execution_id,logName,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
,,,,,,,,,,000000-3ac04b1c-e4cd-42d2-a1c3-599d93cb1f96,eemm04td4as8,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.366144341Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:59:09.614198873Z,projects/taller3-pcuneo/traces/3e763d2760cdaa7057b187b0dfb33946
,,,,,,,,,,000000-ca0b0552-3960-419a-ba3a-120ac56d2986,eemmvs974d5x,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.366144341Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 29 ms, finished with status code: 200",2021-10-10T17:59:09.611896292Z,projects/taller3-pcuneo/traces/d501ad67206a20bba130867aa7e1d761
,,,,,,,,,,000000-2c80e08a-5baf-423c-82d1-9f04a25ceeb2,eemmvs974d5x,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.366144341Z,api,taller3-pcuneo,us-central1,cloud_function,,api 0.0 about POST,2021-10-10T17:59:09.606Z,projects/taller3-pcuneo/traces/d501ad67206a20bba130867aa7e1d761
,,,,,,,,,,000000-73d077f2-ee09-4335-ad9e-36cbf7bae4ca,eemmvs974d5x,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.366144341Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:59:09.583100973Z,projects/taller3-pcuneo/traces/d501ad67206a20bba130867aa7e1d761
,,,,,,,,,,000000-7ad1c60c-1bf4-4adc-b68b-c86a2e34bd2c,eemmkxkreflz,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.366144341Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 102 ms, finished with status code: 200",2021-10-10T17:59:09.580757380Z,projects/taller3-pcuneo/traces/bd959c8f1e840f40b25afb0e0fe8f688
,,,,,,,,,,000000-634c7d00-af8c-486d-b379-bb3286ee6613,eemmkxkreflz,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.366144341Z,api,taller3-pcuneo,us-central1,cloud_function,,api 0.0 about POST,2021-10-10T17:59:09.579Z,projects/taller3-pcuneo/traces/bd959c8f1e840f40b25afb0e0fe8f688
,,,,,,,,,,000000-e9be0faa-f7d2-4b93-bb1c-abdcf3f45ead,x7s1b22u3rp5,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:16.153496660Z,api,taller3-pcuneo,us-central1,cloud_function,,api 0.009999999999990905 jobs GET,2021-10-10T17:59:09.575Z,projects/taller3-pcuneo/traces/c987b629e9a14485a1a782628d0f5d28
,,,,,,,,,,000000-c5cc8dc6-3126-47e6-8507-bd64e80a2d49,z1svf1ngkvvf,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.669207969Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:59:09.562359927Z,projects/taller3-pcuneo/traces/f6f82c14cef90fdf28c5d79bd09e1ba2
,,,,,,,,,,000000-e844b800-7bb6-469a-a73b-dc9c2d4da710,z1svx9k6gwoy,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.669207969Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 169 ms, finished with status code: 200",2021-10-10T17:59:09.558232517Z,projects/taller3-pcuneo/traces/9ff4c86a9e4c35a5f1768f24ca4097b2
,,,,,,,,,,000000-9140de02-9999-427d-880a-2dc7bca947ed,x7s1b22u3rp5,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:16.153496660Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:59:09.557492377Z,projects/taller3-pcuneo/traces/c987b629e9a14485a1a782628d0f5d28
,,,,,,,,,,000000-56431bd6-b935-4dd2-95c3-bfb9bd424849,z1svx9k6gwoy,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.669207969Z,api,taller3-pcuneo,us-central1,cloud_function,,api 0.01999999999999602 home GET,2021-10-10T17:59:09.556Z,projects/taller3-pcuneo/traces/9ff4c86a9e4c35a5f1768f24ca4097b2
,,,,,,,,,,000000-eda34bc1-7a44-46d8-8de5-cf582e296f8f,x7s1dpuy6v1b,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:16.153496660Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 95 ms, finished with status code: 200",2021-10-10T17:59:09.551615668Z,projects/taller3-pcuneo/traces/67f692ec069dc52fd20db953e486b8e4
,,,,,,,,,,000000-fb8ea3f9-b33d-4f02-8731-8ca0f481a86f,x7s1dpuy6v1b,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:16.153496660Z,api,taller3-pcuneo,us-central1,cloud_function,,api 0.0 offices POST,2021-10-10T17:59:09.549Z,projects/taller3-pcuneo/traces/67f692ec069dc52fd20db953e486b8e4
,,,,,,,,,,000000-23654065-d6a4-4a1a-b27e-1550f91f4e36,eemmkxkreflz,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.366144341Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-10T17:59:09.479689Z,projects/taller3-pcuneo/traces/bd959c8f1e840f40b25afb0e0fe8f688
,,,,,,,,,,000000-2c00b5fe-2ac9-4471-b719-b9ae05957a4c,eemmt8u2yrfr,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.366144341Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 88 ms, finished with status code: 200",2021-10-10T17:59:09.477518753Z,projects/taller3-pcuneo/traces/eb52e2ae7571e5c2496ddd8fda060168
,,,,,,,,,,000000-5304877e-118d-408f-83d6-851caf7e15c3,eemmt8u2yrfr,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-10T17:59:15.366144341Z,api,taller3-pcuneo,us-central1,cloud_function,,api 0.0 about POST,2021-10-10T17:59:09.476Z,projects/taller3-pcuneo/traces/eb52e2ae7571e5c2496ddd8fda060168
